Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,昌平北,10:18,10:18,00:00,-
2,官高,10:27,10:57,00:09,8
3,北宅,11:46,11:52,00:58,36
4,雁栖湖,12:03,12:08,01:09,-
5,怀柔北,12:15,12:44,01:16,5
6,黑山寺,13:11,13:13,01:43,-
7,古北口,14:11,14:13,02:41,-
8,流水沟,14:18,14:20,02:46,109
9,猴山,14:46,14:48,03:12,126
10,虎什哈,14:57,14:59,03:21,-
11,五道河,15:10,15:12,03:32,141
12,二道沟门,15:22,15:24,03:42,149
13,滦平,15:45,15:47,04:03,121
14,张百湾,16:08,16:18,04:24,184
15,金沟屯,16:31,16:33,04:37,195
16,滦河沿,16:39,16:41,04:43,198
17,梁底下,16:51,16:53,04:53,206
18,白旗,17:02,17:04,05:02,213
19,超梁沟,17:16,17:18,05:14,222
20,闹海营,17:28,17:33,05:24,230
21,隆化,17:41,18:05,05:32,190
22,承德,19:30,19:30,06:57,291
