Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,长沙南,----,08:30,00:00,-
2,岳阳东,09:03,09:05,00:33,147
3,赤壁北,09:27,09:29,00:55,234
4,咸宁北,09:42,09:44,01:08,277
5,武汉,10:10,10:14,01:34,362
6,漯河西,11:30,11:42,02:50,743
7,郑州东,12:17,12:28,03:25,898
8,商丘,13:18,13:20,04:15,1088
9,砀山南,13:38,13:40,04:33,1150
10,徐州东,14:16,14:37,05:09,1258
11,滕州东,15:02,15:04,05:34,1359
12,济南,15:55,16:00,06:25,1301
13,淄博,16:42,16:45,07:07,1411
14,潍坊,17:20,17:22,07:42,1511
15,高密,17:49,17:52,08:09,1842
16,即墨北,18:21,18:24,08:38,1914
17,莱阳,18:52,18:54,09:06,1984
18,海阳北,19:08,19:10,09:20,2011
19,桃村北,19:21,19:23,09:31,-
20,烟台,19:51,19:51,09:59,2082
