Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,厦门北,08:04,08:04,00:00,-
2,漳州,08:23,08:25,00:19,42
3,龙岩,09:07,09:11,01:01,156
4,长汀南,09:53,10:05,01:43,171
5,于都,10:43,10:45,02:21,186
6,赣县北,11:02,11:04,02:38,-
7,吉安西,11:45,11:47,03:19,-
8,新干东,12:11,12:13,03:43,-
9,南昌西,12:50,12:53,04:20,688
10,宜春,13:36,13:38,05:03,864
11,萍乡北,13:56,13:58,05:21,925
12,长沙南,14:28,14:32,05:51,1030
13,韶山南,14:55,14:57,06:14,-
14,邵阳北,15:25,15:33,06:42,1045
15,怀化南,16:14,16:17,07:23,1200
16,芷江,16:29,16:31,07:35,1534
17,凯里南,17:22,17:24,08:26,1298
18,贵定北,17:47,17:49,08:49,1897
19,贵阳东,18:05,18:09,09:05,-
20,黔西,18:38,18:40,09:34,-
21,毕节,19:04,19:08,09:58,-
22,镇雄,19:26,19:28,10:16,-
23,宜宾西,20:21,20:23,11:09,-
24,乐山,21:05,21:07,11:51,-
25,眉山东,21:26,21:28,12:10,-
26,成都东,21:59,21:59,12:41,-
