Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州南,----,13:18,00:00,-
2,佛山西,13:37,13:39,00:19,5
3,贺州,14:48,14:50,01:28,261
4,钟山西,15:02,15:04,01:40,285
5,桂林西,15:53,15:57,02:29,355
6,五通,16:08,16:17,02:40,463
7,榕江,17:17,17:19,03:40,469
8,都匀东,17:50,17:52,04:11,570
9,龙里北,18:18,18:20,04:37,644
10,贵阳东,18:39,18:43,04:56,857
11,修文县,19:00,19:02,05:13,883
12,遵义,19:38,19:40,05:49,980
13,重庆西,21:00,21:06,07:09,1201
14,合川,21:34,21:37,07:37,1262
15,潼南,22:02,22:05,08:02,2065
16,遂宁,22:33,22:35,08:30,1364
17,成都东,23:33,23:33,09:28,2263
