Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都东,----,08:20,00:00,-
2,简阳南,08:39,08:41,00:19,5
3,内江北,09:07,09:10,00:45,20
4,重庆西,09:53,09:59,01:28,302
5,遵义,11:18,11:20,02:47,565
6,贵阳东,12:08,12:16,03:35,646
7,凯里南,12:50,12:52,04:09,763
8,铜仁南,13:27,13:29,04:44,903
9,芷江,13:50,13:52,05:05,-
10,怀化南,14:05,14:08,05:18,1010
11,娄底南,14:59,15:01,06:09,1217
12,湘潭北,15:27,15:29,06:35,-
13,长沙南,15:42,15:48,06:48,1556
14,萍乡北,16:15,16:17,07:15,-
15,新余北,16:45,16:47,07:43,-
16,南昌西,17:19,17:28,08:15,1528
17,鹰潭北,18:03,18:05,08:50,-
18,上饶,18:31,18:38,09:16,1886
19,玉山南,18:51,18:54,09:29,-
20,江山,19:09,19:12,09:44,1962
21,金华,19:41,19:43,10:13,-
22,金华南,19:55,19:57,10:25,2096
23,武义北,20:08,20:10,10:36,-
24,永康南,20:21,20:23,10:47,-
25,缙云西,20:34,20:36,10:58,-
26,丽水,20:49,20:51,11:11,2216
27,温州南,21:26,21:44,11:46,-
28,苍南,22:08,22:08,12:10,-
