Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,图们,----,07:11,00:00,-
2,延吉,08:13,08:21,01:02,52
3,榆树川,08:56,08:58,01:37,94
4,茶条沟,09:10,09:12,01:49,105
5,安图,09:25,09:30,02:02,118
6,哈尔巴岭,10:27,10:29,02:59,155
7,大石头,10:41,10:43,03:11,167
8,敦化,11:19,11:32,03:47,191
9,黄泥河,12:08,12:11,04:23,229
10,黄松甸,12:40,12:46,04:52,260
11,白石山,13:04,13:07,05:10,277
12,蛟河,13:37,13:42,05:40,304
13,小姑家,14:04,14:06,06:02,327
14,老爷岭,14:19,14:21,06:15,336
15,六道河,14:35,14:37,06:29,346
16,天岗,14:50,14:52,06:42,358
17,江密峰,15:10,15:12,07:00,378
18,吉林,15:35,15:35,07:23,401
