Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都,----,08:29,00:00,-
2,南充,11:31,11:35,03:02,215
3,达州,13:07,13:13,04:34,374
4,万源,14:44,14:46,06:05,499
5,安康,16:11,16:19,07:30,650
6,十堰,19:06,19:09,10:17,852
7,襄阳,21:17,21:37,12:25,1023
8,信阳,00:43,01:02,15:31,1028
9,潢川,02:24,02:33,16:53,1366
10,商城,02:59,03:03,17:19,1407
11,固始,03:21,03:29,17:37,1429
12,合肥,05:28,05:46,19:36,1372
13,芜湖,07:21,07:41,21:11,1513
14,马鞍山,08:27,08:31,21:57,1560
15,南京,09:35,10:12,23:01,1638
16,镇江,10:55,11:05,23:44,1750
17,常州,11:55,11:59,24:34,1822
18,无锡,12:26,12:30,25:01,1861
19,苏州,12:58,13:02,25:29,1855
20,上海,14:40,14:40,27:07,1939
