Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,----,17:45,00:00,-
2,吐鲁番北,19:05,19:07,01:20,163
3,鄯善北,19:51,19:53,02:04,254
4,哈密,21:50,21:59,04:01,535
5,嘉峪关,03:10,03:18,09:12,1179
6,张掖,05:12,05:18,11:06,1402
7,武威,07:31,07:40,13:19,1646
8,兰州,10:39,11:02,16:18,1754
9,天水,14:59,15:05,20:15,2102
10,宝鸡,17:41,17:51,22:51,2257
11,西安,19:21,19:33,24:21,2430
12,郑州,01:29,01:37,30:17,2941
13,徐州,04:26,04:47,33:06,3480
14,枣庄西,05:31,05:36,33:50,3475
15,兖州,06:23,06:26,34:37,3570
16,泰山,07:17,07:21,35:28,3653
17,济南,08:16,08:16,36:23,3726
