Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,青岛,06:16,06:16,00:00,-
2,青岛北,06:34,06:36,00:18,15
3,潍坊,07:31,07:33,01:13,183
4,青州市,07:54,07:57,01:34,240
5,淄博,08:15,08:18,01:52,283
6,济南,09:05,09:07,02:39,393
7,滕州东,09:56,10:03,03:28,581
8,枣庄,10:15,10:20,03:40,617
9,徐州东,10:38,10:53,03:58,682
10,砀山南,11:25,11:27,04:30,790
11,商丘,11:44,11:51,04:47,692
12,郑州东,12:38,12:44,05:34,707
13,驻马店西,13:34,13:36,06:24,1261
14,信阳东,14:01,14:09,06:49,1044
15,武汉,14:54,15:02,07:34,1243
16,长沙南,16:21,16:29,08:53,1940
17,耒阳西,17:19,17:21,09:43,2172
18,韶关,18:09,18:11,10:31,2174
19,清远,18:43,18:45,11:03,-
20,广州南,19:15,19:15,11:33,2401
