Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京,01:46,01:46,00:00,-
2,涞源,06:10,06:13,04:24,117
3,灵丘,07:33,07:58,05:44,263
4,五台山,09:00,09:06,06:46,337
5,繁峙,09:30,09:35,07:10,365
6,代县,10:00,10:04,07:35,396
7,原平,10:48,10:56,08:19,444
8,忻州,11:20,11:26,08:43,480
9,阳曲,12:09,12:11,09:26,-
10,太原东,12:38,12:41,09:53,565
11,太原,12:47,13:13,09:59,641
12,榆次,13:35,13:40,10:21,668
13,太谷,14:07,14:10,10:48,704
14,祁县,14:28,14:31,11:06,-
15,平遥,14:47,14:53,11:22,749
16,介休,15:18,15:24,11:47,780
17,灵石,15:50,15:53,12:13,807
18,霍州,16:30,16:33,12:50,850
19,洪洞,17:12,17:15,13:29,892
20,临汾,17:35,17:35,13:49,915
