Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,秀山,08:18,08:18,00:00,-
2,龙池,08:37,08:40,00:19,5
3,酉阳,09:03,09:07,00:42,44
4,泔溪,09:29,09:31,01:04,15
5,长潭沟,09:44,09:46,01:17,20
6,鱼泉,10:05,10:07,01:36,25
7,黔江,10:36,10:41,02:05,126
8,核桃园,10:54,11:30,02:18,137
9,干溪沟,11:51,12:17,02:39,40
10,郁山,12:29,12:35,02:51,45
11,彭水,13:25,13:38,03:41,190
12,高谷,13:54,13:56,03:57,60
13,中嘴,14:19,14:51,04:20,65
14,武隆,15:02,15:12,04:31,239
15,白马,16:28,16:30,05:47,75
16,白沙沱,16:41,16:43,05:58,80
17,白涛,16:56,16:57,06:11,85
18,涪陵,17:17,17:20,06:31,306
19,长寿,18:08,18:10,07:19,100
20,洛碛,18:20,18:22,07:29,105
21,重庆北,19:02,19:02,08:09,406
