Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南京,----,08:09,00:00,-
2,镇江,08:32,08:34,00:23,64
3,丹阳,08:46,08:48,00:35,92
4,常州,09:04,09:06,00:51,136
5,惠山,09:17,09:23,01:02,115
6,无锡,09:31,09:33,01:10,175
7,无锡新区,09:41,09:43,01:18,188
8,苏州,09:54,10:02,01:29,217
9,昆山南,10:14,10:17,01:41,251
10,上海虹桥,10:37,10:41,02:01,301
11,嘉善南,11:06,11:21,02:26,368
12,嘉兴南,11:29,11:32,02:34,385
13,海宁西,11:48,11:58,02:50,434
14,杭州东,12:12,12:15,03:04,460
15,绍兴北,12:34,12:36,03:23,503
16,余姚北,12:55,12:57,03:42,566
17,宁波,13:18,13:25,04:03,615
18,宁海,13:53,13:55,04:31,687
19,台州,14:25,14:27,05:01,767
20,雁荡山,14:45,14:47,05:19,814
21,温州南,15:17,15:19,05:49,890
22,瑞安,15:30,15:32,06:00,913
23,苍南,15:48,15:50,06:16,947
24,福鼎,16:05,16:07,06:31,984
25,福安,16:37,16:39,07:01,1069
26,福州南,17:24,17:29,07:46,1184
27,莆田,17:59,18:01,08:16,1270
28,泉州,18:26,18:28,08:41,1339
29,晋江,18:39,18:51,08:52,1402
30,厦门北,19:09,19:14,09:10,1410
31,漳州,19:33,19:35,09:29,1452
32,龙山镇,19:55,19:57,09:49,-
33,龙岩,20:24,20:28,10:16,1549
34,古田会址,20:44,20:46,10:32,1546
35,冠豸山,21:02,21:04,10:48,-
36,长汀南,21:22,21:24,11:06,-
37,瑞金,21:40,21:42,11:22,1639
38,于都,22:10,22:12,11:50,1639
39,赣州,22:40,22:40,12:18,1196
