Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,淮南南,12:21,12:21,00:00,-
2,水家湖,12:29,12:31,00:08,-
3,合肥,12:55,12:59,00:32,-
4,南京南,13:55,13:57,01:28,-
5,镇江,14:23,14:25,01:54,-
6,丹阳,14:38,14:39,02:07,-
7,常州,14:54,14:56,02:22,-
8,无锡,15:10,15:12,02:36,-
9,苏州,15:27,15:32,02:51,-
10,苏州园区,15:39,15:42,02:58,-
11,上海虹桥,16:08,16:12,03:24,-
12,嘉兴南,16:40,16:42,03:52,-
13,海宁西,16:57,16:59,04:07,-
14,杭州东,17:12,17:15,04:20,-
15,绍兴北,17:34,17:36,04:39,-
16,余姚北,17:54,17:56,04:57,-
17,宁波,18:15,18:18,05:16,-
18,奉化,18:35,18:37,05:33,-
19,台州,19:18,19:20,06:14,-
20,雁荡山,19:38,19:40,06:32,-
21,永嘉,20:02,20:04,06:54,-
22,温州南,20:16,20:33,07:06,-
23,平阳,20:50,20:50,07:23,-
