Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,大连,19:40,19:40,00:00,-
2,金州,20:05,20:08,00:25,33
3,普兰店,20:39,20:41,00:56,78
4,瓦房店,21:00,21:03,01:15,105
5,熊岳城,21:51,21:54,02:03,179
6,大石桥,22:35,22:41,02:44,240
7,海城,23:04,23:06,03:07,272
8,鞍山,23:31,23:34,03:32,308
9,辽阳,23:51,23:53,03:49,333
10,沈阳,00:41,00:55,04:37,397
11,彰武,03:07,03:10,06:49,571
12,甘旗卡,03:59,04:02,07:38,637
13,通辽,05:00,05:16,08:36,734
14,扎鲁特,06:45,06:47,10:05,831
15,白音胡硕,07:17,07:20,10:35,848
16,西哲里木,08:32,08:34,11:47,893
17,霍林郭勒,09:36,09:36,12:49,1117
