Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,17:45,17:45,00:00,-
2,大灰厂,18:30,18:32,00:45,29
3,上万,18:42,18:44,00:55,38
4,南观村,18:54,18:56,01:05,47
5,燕山,19:02,19:04,01:11,50
6,良各庄,19:12,19:14,01:19,54
7,孤山口,19:27,19:29,01:32,67
8,云居寺,19:37,19:39,01:40,73
9,三合庄,19:49,19:51,01:50,81
10,十渡,20:05,20:07,02:04,92
11,平峪,20:15,20:17,02:12,97
12,野三坡,20:29,20:31,02:24,106
13,百里峡,20:44,20:46,02:37,115
14,福山口,20:55,20:57,02:46,121
15,白涧,21:07,21:10,02:56,128
16,板城,21:18,21:20,03:04,133
17,南城司,21:30,21:32,03:14,141
18,奇峰塔,21:43,21:45,03:25,149
19,紫荆关,21:57,21:59,03:37,157
20,大盘石,22:11,22:13,03:49,165
21,塔崖驿,22:23,22:25,03:59,173
22,王安镇,22:35,22:37,04:09,179
23,浮图峪,22:55,22:57,04:27,191
24,北屯,23:09,23:11,04:39,197
25,涞源,23:22,23:26,04:50,204
26,小西庄,23:42,23:44,05:06,214
27,艾河,00:01,00:03,05:23,223
28,招柏,00:18,00:20,05:38,235
29,云彩岭,00:29,00:46,05:47,242
30,大涧,00:55,00:55,05:56,250
