Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,昆明,----,07:27,00:00,-
2,小哨,08:11,08:14,00:44,41
3,杨林,08:26,08:29,00:56,58
4,小新街,08:42,09:17,01:09,76
5,照福铺,09:31,10:15,01:23,109
6,吴官田,10:29,10:40,01:37,128
7,马龙,10:49,10:52,01:46,138
8,曲靖,11:09,11:17,02:03,157
9,白沙坡,11:48,11:50,02:34,182
10,平河口,11:59,12:01,02:43,189
11,白水镇,12:10,12:12,02:52,197
12,车转湾,12:26,12:28,03:06,213
13,羊尾哨,12:41,12:43,03:19,223
14,富源,12:52,12:57,03:28,232
15,平关,13:08,13:12,03:39,243
16,红果,13:41,14:16,04:08,261
17,沙沱,14:27,14:36,04:19,268
18,花家庄,14:49,14:55,04:32,277
19,平田,15:05,15:12,04:42,283
20,盘关,15:23,15:27,04:53,290
21,月亮田,15:35,15:38,05:01,294
22,柏果,15:54,16:04,05:17,304
23,松河,16:29,16:31,05:42,319
24,雨格,16:44,16:46,05:55,327
25,三家寨,17:00,17:10,06:09,337
26,茅草坪,17:34,17:36,06:33,356
27,营街,17:51,17:53,06:48,368
28,发耳,18:06,18:32,07:01,377
29,都格,18:47,19:02,07:16,386
30,白鸡坡,19:15,19:34,07:29,395
31,玉舍,19:48,20:29,07:43,404
32,六盘水,21:35,21:35,08:49,389
