Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,兰州西,----,10:33,00:00,-
2,秦安,11:38,11:40,01:05,10
3,天水南,11:55,11:58,01:20,10
4,宝鸡南,12:42,12:45,02:04,15
5,杨陵南,13:07,13:10,02:26,93
6,西安北,13:37,13:50,02:53,182
7,渭南北,14:07,14:09,03:10,250
8,灵宝西,14:39,14:41,03:40,396
9,洛阳龙门,15:22,15:24,04:21,562
10,巩义南,15:38,15:40,04:35,998
11,郑州,16:09,16:17,05:04,1073
12,漯河西,17:02,17:04,05:49,1237
13,驻马店西,17:22,17:24,06:07,1301
14,信阳东,17:50,17:52,06:33,1419
15,武汉,18:35,18:44,07:16,1618
16,岳阳东,19:35,19:37,08:07,1833
17,长沙南,20:12,20:16,08:42,1980
18,衡阳东,20:53,20:55,09:19,2157
19,郴州西,21:28,21:34,09:52,2310
20,广州南,23:00,23:00,11:18,2687
