Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,深圳北,11:44,11:44,00:00,-
2,惠东,12:20,12:22,00:36,88
3,汕尾,12:47,12:49,01:01,156
4,潮阳,13:33,13:35,01:45,279
5,潮汕,13:51,13:54,02:01,305
6,诏安,14:19,14:54,02:26,364
7,漳州,15:36,16:00,03:08,562
8,龙岩,16:50,16:57,03:58,586
9,漳平西,17:24,17:27,04:25,-
10,双洋,17:41,17:43,04:39,-
11,永安南,17:59,18:01,04:55,-
12,三明,18:17,18:19,05:11,-
13,三明北,18:32,18:34,05:24,850
14,延平西,18:51,18:53,05:41,-
15,建瓯西,19:14,19:22,06:02,-
16,南平市,19:38,19:40,06:18,-
17,上饶,20:09,20:13,06:47,1099
18,婺源,20:36,20:38,07:10,-
19,黄山北,21:02,21:05,07:34,1261
20,绩溪北,21:19,21:21,07:48,1302
21,泾县,21:41,21:43,08:08,-
22,无为,22:07,22:08,08:32,1462
23,合肥南,22:38,22:38,09:02,1567
