Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,临河,13:39,13:39,00:00,-
2,包头,15:51,15:57,02:12,218
3,包头东,16:12,16:16,02:27,234
4,呼和浩特东,17:37,18:00,03:48,391
5,集宁南,19:11,19:21,04:59,541
6,大同,21:00,21:12,06:38,668
7,张家口,23:41,23:53,09:07,-
8,北京,03:08,03:36,12:22,1042
9,衡水,06:04,06:09,14:50,1292
10,聊城,07:29,07:35,16:10,1444
11,菏泽,08:43,08:46,17:18,1600
12,商丘南,09:44,09:47,18:16,1705
13,亳州,10:20,10:23,18:49,1769
14,阜阳,11:21,11:44,19:47,1873
15,潢川,12:43,12:46,20:46,1989
16,麻城,13:50,13:56,21:50,2109
17,九江,15:53,15:59,23:47,2332
18,南昌,17:24,17:41,25:12,2340
19,吉安,19:53,19:57,27:24,2693
20,赣州,21:51,21:55,29:18,2879
21,龙川,00:49,00:53,32:12,3120
22,惠州,02:45,02:51,34:04,3275
23,东莞东,03:33,03:41,34:46,3329
24,深圳东,05:00,05:00,36:05,3382
