Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,重庆北,----,08:38,00:00,-
2,长寿北,09:08,09:10,00:30,68
3,丰都,09:37,09:39,00:57,134
4,利川,10:32,10:34,01:50,278
5,恩施,11:06,11:10,02:22,339
6,宜昌东,12:51,12:56,04:03,553
7,枝江北,13:16,13:18,04:23,597
8,荆州,13:36,13:39,04:41,641
9,潜江,14:04,14:06,05:06,711
10,天门南,14:26,14:29,05:26,762
11,汉口,15:08,15:14,06:05,845
12,红安西,15:43,15:45,06:34,917
13,金寨,16:26,16:28,07:15,1065
14,六安,16:45,16:47,07:32,1117
15,合肥南,17:11,17:19,07:56,1204
16,南京南,18:11,18:22,08:48,1361
17,丹阳,18:59,19:01,09:25,1463
18,常州,19:16,19:18,09:40,1507
19,无锡,19:33,19:35,09:55,1546
20,苏州,19:50,19:52,10:10,1588
21,昆山南,20:04,20:09,10:22,1622
22,上海虹桥,20:29,20:29,10:42,1672
