Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,沈阳,06:18,06:18,00:00,-
2,苏家屯,06:34,06:36,00:16,16
3,吴家屯,06:46,06:48,00:26,26
4,陈相屯,06:59,07:01,00:37,36
5,姚千户屯,07:10,07:12,00:46,47
6,石桥子,07:24,07:26,00:58,60
7,威宁,07:40,07:42,01:12,76
8,本溪,07:52,08:00,01:22,84
9,桥头,08:15,08:17,01:37,-
10,南芬,08:29,08:31,01:49,109
11,下马塘,08:44,08:46,02:02,120
12,连山关,08:56,08:58,02:12,128
13,祁家堡,09:09,09:11,02:23,133
14,草河口,09:24,09:26,02:36,143
15,通远堡,09:38,09:40,02:48,155
16,刘家河,09:55,09:57,03:03,-
17,长虹,10:08,10:10,03:14,183
18,中兴,10:20,10:22,03:24,195
19,凤凰城,10:34,10:48,03:36,212
20,大堡,11:18,11:27,04:06,-
21,铁佛寺,11:29,11:29,04:08,-
22,边沟,11:30,11:30,04:09,-
23,佟家,11:35,11:35,04:14,-
24,庙阳,11:40,11:40,04:19,-
25,天桥,11:45,11:45,04:24,-
26,灌水,13:06,13:08,05:45,-
27,龙爪沟,13:24,13:26,06:01,-
28,宽甸,13:52,13:54,06:27,-
29,永甸,14:20,14:20,06:53,-
30,长甸,14:41,14:41,07:14,-
