Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州,----,17:02,00:00,-
2,韶关东,19:18,19:24,02:16,221
3,衡阳,22:56,23:02,05:48,521
4,长沙,01:05,01:12,07:51,707
5,岳阳,02:34,02:40,09:13,854
6,武昌,05:43,06:03,12:16,1069
7,信阳,09:02,09:05,15:15,1303
8,确山,09:53,09:56,16:03,1379
9,驻马店,10:10,10:21,16:17,1399
10,西平,10:50,11:02,16:46,1443
11,漯河,11:21,11:28,17:05,1465
12,平顶山,12:42,13:02,18:19,1543
13,汝州,14:19,14:23,19:36,1623
14,洛阳,15:44,15:50,20:57,1723
15,潼关,19:18,19:20,24:25,1958
16,华山,19:32,19:34,24:37,1970
17,渭南,20:24,20:28,25:27,2054
18,西安,21:18,21:18,26:17,2110
