Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,哈尔滨西,11:10,11:10,00:00,-
2,长春,13:03,13:11,01:53,240
3,四平,14:12,14:15,02:54,355
4,沈阳北,15:51,15:59,04:30,538
5,锦州南,17:45,17:48,06:16,761
6,山海关,19:18,19:24,07:46,960
7,秦皇岛,19:42,19:47,08:04,942
8,北戴河,20:04,20:15,08:21,964
9,唐山,21:24,21:27,09:30,1104
10,天津,22:38,22:44,10:41,1227
11,衡水,01:27,01:30,13:24,1538
12,菏泽,03:55,03:59,15:49,1846
13,商丘南,04:56,04:58,16:46,1951
14,阜阳,06:22,06:47,18:10,2119
15,麻城,08:46,08:49,20:09,2355
16,九江,10:44,10:48,22:04,2537
17,南昌西,11:52,12:01,23:08,2679
18,吉安,14:02,14:07,25:09,2905
19,赣州,15:58,16:22,27:00,3091
20,韶关东,18:41,18:47,29:19,3339
21,广州,21:05,21:30,31:37,3516
22,佛山,21:53,21:59,32:00,3538
23,肇庆,23:04,23:10,33:05,3625
24,湛江西,02:52,02:58,36:47,3970
25,徐闻,04:40,05:04,38:29,4083
26,海口,08:46,08:46,42:11,4276
