Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,银川,06:41,06:41,00:00,-
2,黄羊滩,07:09,07:10,00:28,27
3,大坝,08:01,08:13,01:19,55
4,青铜峡,08:29,08:32,01:35,66
5,中宁,09:41,09:43,02:44,118
6,黄羊湾,10:03,10:04,03:04,300
7,中卫,10:34,10:55,03:34,162
8,宣和,11:22,11:25,04:01,188
9,大战场,11:36,11:42,04:12,200
10,中宁南,11:53,11:55,04:23,212
11,长农,12:06,12:08,04:34,225
12,艾家村,12:19,12:21,04:45,237
13,石坝,12:32,12:34,04:56,249
14,同心,12:45,12:51,05:07,260
15,王团庄,13:02,13:04,05:18,272
16,土桥子,13:15,13:17,05:29,284
17,李旺,13:28,13:30,05:40,296
18,韩府湾,13:41,13:42,05:51,307
19,七营,13:53,13:59,06:02,319
20,褚家湾,14:13,14:32,06:16,331
21,三营,14:43,14:46,06:27,343
22,二营,15:00,15:02,06:41,359
23,沈家河,15:13,15:14,06:52,370
24,固原,15:25,15:33,07:03,379
25,彭阳,16:03,16:04,07:33,404
26,六盘山,16:19,16:20,07:48,417
27,三关口,16:38,16:39,08:06,432
28,新李,17:09,17:11,08:36,458
29,平凉,17:25,17:31,08:50,470
30,平凉南,17:46,17:47,09:05,484
31,泾川,18:42,18:43,10:00,475
32,长庆桥,19:27,19:27,10:44,480
