Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,19:32,19:32,00:00,-
2,吐鲁番北,20:52,20:54,01:20,163
3,哈密,23:32,23:46,03:58,535
4,嘉峪关,04:47,04:55,08:59,1179
5,张掖,06:47,06:53,10:51,1402
6,武威,09:06,09:11,13:04,1646
7,兰州,12:09,12:26,16:02,1754
8,天水,16:21,16:27,19:57,2102
9,宝鸡,19:00,19:11,22:30,2257
10,西安,20:41,20:50,24:00,2430
11,洛阳,01:31,01:34,28:41,2817
12,郑州,02:57,03:05,30:04,2941
13,徐州,05:54,06:02,32:53,3480
14,蚌埠,07:21,07:26,34:12,3644
15,南京,08:59,09:07,35:45,3837
16,常州,10:09,10:13,36:47,-
17,无锡,10:34,10:38,37:08,3791
18,苏州,11:00,11:04,37:30,3963
19,上海,11:59,11:59,38:25,3924
