Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,黑河,08:45,08:45,00:00,-
2,孙吴,10:43,10:54,01:58,116
3,襄河,12:43,12:45,03:47,222
4,龙镇,13:04,13:09,04:06,240
5,五大连池,13:23,13:28,04:20,251
6,北安,14:29,14:50,05:21,303
7,赵光,15:15,15:18,05:46,330
8,通北,15:50,15:53,06:18,367
9,海北,16:07,16:09,06:32,382
10,海伦,16:35,16:38,06:58,409
11,绥棱,17:03,17:09,07:23,441
12,绥化,18:15,18:25,08:29,511
13,呼兰,19:23,19:25,09:27,604
14,哈尔滨东,19:50,20:16,09:52,635
15,哈尔滨,20:31,20:39,10:07,636
16,扶余,21:50,21:52,11:18,738
17,长春,00:40,00:48,14:06,881
18,四平,02:01,02:03,15:19,996
19,沈阳,04:13,04:27,17:29,1184
20,辽阳,05:13,05:16,18:15,1249
21,鞍山,05:35,05:40,18:34,1274
22,海城,06:06,06:09,19:00,1310
23,大石桥,06:39,06:42,19:30,1342
24,盖州,07:02,07:04,19:50,1372
25,熊岳城,07:25,07:27,20:11,1403
26,许家屯,07:41,07:43,20:25,1421
27,瓦房店,08:23,08:26,21:05,1477
28,普兰店,08:46,08:48,21:25,1504
29,金州,09:19,09:21,21:56,1549
30,大连,09:55,09:55,22:30,1582
