Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,叶柏寿,----,07:28,00:00,-
2,凌源东,08:05,08:08,00:37,27
3,凌源,08:15,08:18,00:44,31
4,水泉,08:47,08:54,01:13,57
5,三十家,09:16,09:19,01:35,73
6,魏杖子,09:31,09:36,01:47,78
7,东沟门,09:51,09:59,02:02,85
8,东营子,10:20,10:20,02:23,91
9,刀尔登,10:38,10:41,02:41,108
10,杨杖子,10:53,11:00,02:53,114
11,北磴,11:10,11:10,03:03,122
12,任家店,11:30,11:30,03:23,139
13,田家沟,11:40,11:40,03:33,146
14,金杖子,11:54,11:56,03:47,154
15,宣家沟,12:00,12:00,03:51,160
16,南汤,12:10,12:10,04:01,181
17,建昌,12:42,12:44,04:33,191
18,南桥,13:04,13:06,04:53,212
19,杨家店,13:10,13:10,04:57,219
20,杨树湾,13:25,13:27,05:12,225
21,四家子,13:30,13:30,05:15,230
22,鸽子洞,13:40,13:40,05:25,245
23,大徐屯,14:00,14:00,05:45,262
24,串子沟,14:30,14:36,06:15,271
25,郭家屯,14:49,14:51,06:28,282
26,孔家沟,15:00,15:00,06:37,297
27,柳树屯,15:31,15:34,07:08,311
28,营北,15:40,15:40,07:14,318
29,高桥镇,16:06,16:08,07:40,336
30,女儿河,16:22,16:24,07:54,355
31,桃园,16:31,16:33,08:01,360
32,锦州,16:42,16:42,08:10,367
