Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京,00:00,17:12,00:00,-
2,白涧,19:36,19:38,02:24,134
3,涞源,20:59,21:01,03:45,117
4,灵丘,22:09,22:32,04:53,263
5,五台山,00:01,00:05,06:22,337
6,繁峙,00:29,00:32,06:46,365
7,代县,00:57,00:59,07:11,396
8,原平,01:43,01:49,07:55,444
9,忻州,02:13,02:17,08:19,480
10,太原,03:27,03:38,09:29,641
11,平遥,04:49,04:53,10:40,749
12,介休,05:18,05:23,11:05,780
13,霍州,06:22,06:25,12:04,850
14,洪洞,07:03,07:06,12:42,892
15,临汾,07:28,07:34,13:04,915
16,侯马,08:22,08:27,13:52,975
17,闻喜,09:03,09:05,14:28,937
18,运城,09:42,09:42,15:05,980
