Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海虹桥,----,12:22,00:00,-
2,苏州北,12:45,12:50,00:23,81
3,无锡东,13:00,13:02,00:33,108
4,常州北,13:19,13:21,00:50,165
5,南京南,13:53,13:57,01:22,295
6,滁州,14:15,14:20,01:40,354
7,蚌埠南,14:49,14:51,02:09,470
8,徐州东,15:29,15:36,02:47,626
9,曲阜东,16:14,16:16,03:25,783
10,泰安,16:35,16:47,03:44,853
11,济南,17:10,17:12,04:07,915
12,淄博,17:57,18:05,04:52,1025
13,青州市,18:23,18:25,05:10,1068
14,潍坊,18:46,18:48,05:31,1125
15,即墨北,19:40,19:43,06:23,1282
16,莱阳,20:10,20:22,06:50,1352
17,烟台,21:07,21:07,07:35,1450
