Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海虹桥,----,05:45,00:00,-
2,苏州北,06:08,06:10,00:23,81
3,常州北,06:32,06:34,00:45,165
4,南京南,07:05,07:08,01:16,295
5,滁州,07:26,07:28,01:34,354
6,蚌埠南,07:57,07:59,02:03,470
7,徐州东,08:36,08:38,02:40,626
8,枣庄,08:56,08:58,02:58,691
9,济南西,09:48,09:55,03:48,912
10,禹城东,10:19,10:21,04:12,-
11,平原东,10:31,10:37,04:22,-
12,景州,10:58,11:02,04:43,-
13,衡水北,11:18,11:22,04:59,-
14,石家庄东,11:51,11:54,05:28,-
15,石家庄,12:08,12:15,05:42,1063
16,阳泉北,12:57,13:00,06:24,1166
17,太原南,13:47,13:47,07:11,1295
