Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海南,----,16:49,00:00,-
2,嘉善,17:37,17:40,00:48,62
3,嘉兴,17:53,17:59,01:01,80
4,海宁,18:19,18:25,01:21,108
5,杭州东,19:10,19:16,02:06,167
6,诸暨,20:05,20:17,02:55,260
7,义乌,20:45,20:49,03:23,312
8,金华,21:31,21:35,04:05,360
9,衢州,22:46,22:49,05:16,446
10,鹰潭,01:17,01:25,07:44,597
11,萍乡,04:58,05:03,11:17,968
12,醴陵,05:42,05:47,11:56,1007
13,株洲,06:15,06:29,12:24,1049
14,长沙,07:08,07:28,13:03,1101
15,益阳,08:39,08:54,14:14,1167
16,常德,09:54,09:59,15:14,1268
17,慈利,11:34,11:45,16:49,1320
18,张家界,12:58,13:08,18:02,1396
19,吉首,14:58,15:08,19:52,1521
20,麻阳,16:16,16:19,21:00,1580
21,怀化,17:10,17:10,21:51,1489
