Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海,----,14:54,00:00,-
2,苏州,15:44,15:48,00:50,91
3,无锡,16:10,16:13,01:12,133
4,常州,16:34,16:37,01:33,172
5,南京,17:46,17:53,02:42,308
6,蚌埠,19:33,19:38,04:22,485
7,徐州,21:08,21:16,05:52,649
8,邹城,22:33,22:36,07:09,791
9,兖州,22:48,22:50,07:21,812
10,泰山,23:39,23:43,08:10,895
11,济南,00:35,00:44,09:02,968
12,德州,01:55,01:57,10:13,1086
13,衡水,02:46,02:55,11:02,1148
14,石家庄北,04:27,04:44,12:34,1280
15,阳泉北,05:45,05:47,13:35,1384
16,太原南,07:05,07:17,14:53,1513
17,交城,08:15,08:18,15:51,1573
18,文水,08:30,08:33,16:03,1587
19,吕梁,09:22,09:27,16:52,1686
20,吴堡,09:58,10:01,17:23,1737
21,绥德,10:29,10:37,17:51,1775
22,榆林,11:52,12:04,19:06,1877
23,鄂尔多斯,14:11,14:17,21:13,1882
24,东胜西,14:32,14:38,21:28,1887
25,包头,15:58,16:11,22:48,1998
26,包头东,16:26,16:30,23:03,2014
27,呼和浩特,17:58,17:58,24:31,2346
