Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州,----,08:32,00:00,-
2,韶关东,10:44,10:49,02:12,221
3,郴州,12:23,12:28,03:46,374
4,衡阳,14:07,14:11,05:25,521
5,株洲,15:33,15:37,06:47,655
6,长沙,16:14,16:20,07:24,707
7,岳阳,17:37,17:41,08:41,854
8,武昌,19:49,20:16,10:49,1069
9,信阳,22:30,22:32,13:03,1303
10,驻马店,23:19,23:21,13:50,1399
11,漯河,23:57,23:59,14:26,1465
12,郑州,01:15,01:23,15:42,1605
13,洛阳,02:44,02:50,17:03,1723
14,西安,07:24,07:34,21:37,2110
15,宝鸡,09:10,09:18,23:13,2256
16,天水,10:52,10:58,24:47,2411
17,甘谷,11:40,11:45,25:29,2478
18,陇西,12:29,12:35,26:13,2557
19,兰州,15:03,15:18,28:41,2792
20,武威,18:16,18:22,31:39,-
21,张掖,20:30,20:36,33:47,-
22,嘉峪关,22:33,22:48,35:44,3506
23,柳园,01:19,01:27,38:15,3803
24,哈密,04:09,04:17,40:57,4075
25,鄯善北,06:13,06:15,42:53,4345
26,吐鲁番北,07:01,07:03,43:39,4485
27,乌鲁木齐,08:35,08:35,45:11,4680
