Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州,----,07:23,00:00,-
2,肇庆东,08:01,08:03,00:38,5
3,怀集,08:32,08:34,01:07,168
4,贺州,09:04,09:18,01:37,141
5,恭城,09:46,09:48,02:05,274
6,桂林西,10:21,10:26,02:38,284
7,都匀东,11:58,12:00,04:10,499
8,贵阳东,12:40,12:44,04:50,842
9,息烽,13:10,13:12,05:16,894
10,遵义,13:39,13:41,05:43,977
11,珞璜南,14:50,14:52,06:52,-
12,重庆西,15:06,15:10,07:06,1186
13,璧山,15:27,15:29,07:23,-
14,荣昌北,15:50,15:52,07:44,-
15,内江北,16:12,16:21,08:04,1347
16,成都东,17:07,17:15,08:50,2042
17,德阳,17:38,17:40,09:13,-
18,绵阳,17:57,18:08,09:30,-
19,江油,18:25,18:31,09:47,-
20,剑门关,19:01,19:04,10:17,-
21,广元,19:18,19:18,10:31,2232
