Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,17:54,17:54,00:00,-
2,石家庄,20:18,20:24,02:24,281
3,郑州,23:47,23:53,05:47,689
4,武昌,04:32,04:38,10:26,1225
5,岳阳,06:35,06:38,12:23,1440
6,长沙,07:58,08:06,13:43,1587
7,郴州,11:32,11:36,17:09,1920
8,韶关东,13:12,13:16,18:45,2073
9,广州,15:34,15:57,21:03,2294
10,佛山,16:21,16:29,21:27,2316
11,肇庆,17:45,17:50,22:43,2403
12,茂名,20:52,21:00,25:45,2665
13,湛江西,22:03,22:13,26:48,2670
14,徐闻,00:14,00:22,28:49,2783
15,海口,03:50,04:50,32:17,2976
16,东方,06:27,06:32,33:54,3006
17,三亚,08:12,08:12,35:34,3036
