Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,福州,----,08:41,00:00,-
2,延平,09:15,09:17,00:34,-
3,建瓯西,09:33,09:35,00:50,15
4,武夷山北,09:58,10:00,01:13,25
5,上饶,10:22,10:24,01:35,30
6,鹰潭北,10:55,10:58,02:06,131
7,南昌西,11:33,11:38,02:41,271
8,宜春,12:21,12:23,03:24,774
9,萍乡北,12:42,12:44,03:43,508
10,长沙南,13:16,13:22,04:15,613
11,娄底南,13:57,13:59,04:50,738
12,怀化南,14:51,14:55,05:42,945
13,凯里南,15:53,15:55,06:40,989
14,贵阳北,16:33,16:58,07:18,994
15,安顺西,17:28,17:30,07:48,1004
16,盘州,18:17,18:20,08:35,1014
17,曲靖北,18:46,18:48,09:01,1964
18,昆明南,19:23,19:23,09:36,1034
