Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,青岛,14:03,14:03,00:00,-
2,高密,14:59,15:02,00:56,98
3,潍坊,15:57,16:01,01:51,183
4,淄博,16:43,16:47,02:33,283
5,济南,17:42,18:08,03:28,393
6,泰山,18:54,18:57,04:14,466
7,兖州,19:53,19:56,05:10,484
8,滕州,20:38,20:42,05:52,545
9,枣庄西,21:02,21:04,06:12,579
10,徐州,21:59,22:14,07:07,712
11,商丘,23:36,23:40,08:29,692
12,开封,00:49,00:53,09:38,989
13,郑州,01:36,01:51,10:21,1061
14,漯河,03:01,03:04,11:31,1201
15,驻马店,03:34,03:37,12:01,1267
16,信阳,04:30,04:33,12:54,1363
17,武昌,06:50,07:01,15:11,1597
18,咸宁,07:43,07:46,15:53,1677
19,岳阳,09:10,09:13,17:17,1812
20,长沙,10:33,10:40,18:37,1959
21,株洲,11:16,11:20,19:13,2011
22,衡阳,12:39,12:44,20:32,2041
23,郴州,14:22,14:31,22:10,2292
24,韶关东,16:07,16:13,23:46,2445
25,广州东,18:51,18:51,26:24,2674
