Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,柳州,----,07:45,00:00,-
2,桂林,08:52,09:00,01:07,156
3,桂林北,09:11,09:15,01:18,164
4,三江南,09:52,09:54,01:55,257
5,都匀东,10:58,11:00,02:59,467
6,贵阳东,11:40,11:44,03:39,583
7,遵义,12:33,12:43,04:28,706
8,重庆西,14:01,14:05,05:46,927
9,大足南,14:33,14:35,06:14,-
10,资中北,15:00,15:02,06:39,-
11,成都东,15:37,15:48,07:14,1546
12,新都东,15:59,16:01,07:25,-
13,青白江东,16:08,16:15,07:32,-
14,德阳,16:28,16:31,07:45,-
15,绵阳,16:48,16:56,08:02,-
16,江油,17:13,17:15,08:19,-
17,广元,17:55,18:01,08:59,-
18,汉中,18:46,18:48,09:44,-
19,佛坪,19:18,19:20,10:14,-
20,鄠邑,19:50,19:52,10:44,-
21,西安北,20:11,20:22,11:03,-
22,渭南北,20:45,20:47,11:26,-
23,运城北,21:33,21:35,12:12,-
24,洪洞西,22:17,22:19,12:54,-
25,灵石东,22:47,22:49,13:22,-
26,太原南,23:31,23:31,14:04,-
