Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,重庆西,10:26,10:26,00:00,-
2,綦江东,10:52,10:54,00:26,61
3,赶水东,11:08,11:10,00:40,92
4,遵义,11:56,11:58,01:26,221
5,遵义南,12:11,12:13,01:39,248
6,贵阳东,12:52,12:56,02:18,344
7,都匀东,13:34,13:36,02:56,460
8,从江,14:26,14:28,03:46,618
9,桂林西,15:16,15:20,04:34,757
10,阳朔,15:44,15:51,04:58,822
11,恭城,16:05,16:07,05:12,856
12,钟山西,16:28,16:37,05:33,916
13,贺州,16:50,16:52,05:46,940
14,怀集,17:22,17:24,06:16,1030
15,肇庆东,17:53,17:55,06:45,1125
16,佛山西,18:14,18:16,07:04,1168
17,广州南,18:36,18:36,07:24,1201
