Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,襄阳,----,09:36,00:00,-
2,荆门,11:03,11:08,01:27,124
3,当阳,11:44,11:48,02:03,176
4,宜昌东,12:28,13:08,02:43,233
5,松滋,14:48,14:52,04:23,327
6,石门县北,16:00,16:06,05:31,405
7,慈利,16:38,16:45,06:03,447
8,张家界,18:01,18:16,07:19,523
9,吉首,20:03,20:11,09:06,648
10,怀化,21:38,21:58,10:33,751
11,会同,23:20,23:24,11:55,841
12,融水,03:24,03:28,15:55,1078
13,柳州,05:35,05:55,18:02,-
14,玉林,09:28,09:36,21:35,1482
15,陆川,10:04,10:07,22:03,1518
16,文地,10:38,10:42,22:34,1561
17,河唇,11:14,11:18,23:06,1596
18,廉江,11:28,11:33,23:16,1605
19,遂溪,11:53,11:57,23:36,1630
20,湛江,12:26,12:26,24:05,1657
