Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,大同,06:20,06:20,00:00,-
2,怀仁,06:56,06:59,00:36,42
3,岱岳,07:29,07:32,01:06,85
4,朔州,08:06,08:12,01:40,129
5,宁武,08:45,08:50,02:13,166
6,轩岗,09:22,09:30,02:45,194
7,原平,10:23,10:29,03:38,231
8,忻州,10:53,10:59,04:02,212
9,阳曲,11:40,11:42,04:43,326
10,太原,12:10,12:25,05:11,300
11,太原南,12:36,12:40,05:22,363
12,榆次,12:54,12:58,05:36,382
13,太谷,13:25,13:30,06:03,418
14,祁县,13:47,13:50,06:20,441
15,平遥,14:05,14:10,06:35,463
16,介休,14:35,14:40,07:00,494
17,灵石,15:05,15:08,07:25,521
18,霍州,15:44,15:47,08:01,564
19,洪洞,16:24,16:27,08:38,606
20,临汾,16:50,16:56,09:01,629
21,襄汾,17:15,17:17,09:20,655
22,侯马,17:50,17:55,09:53,689
23,闻喜,18:28,18:31,10:26,724
24,运城,19:08,19:08,11:03,767
