Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,郑州,----,14:41,00:00,-
2,开封,15:27,15:32,00:46,72
3,兰考,16:00,16:05,01:14,115
4,民权,16:27,16:31,01:36,151
5,宁陵县,16:46,16:50,01:51,168
6,商丘,17:51,17:58,02:52,203
7,定陶,18:53,19:08,03:47,277
8,菏泽,19:25,19:41,04:04,298
9,郓城,20:14,20:17,04:37,354
10,聊城,21:16,21:22,05:36,454
11,临清,22:00,22:04,06:14,500
12,清河城,22:21,22:23,06:31,-
13,衡水,23:17,23:23,07:25,606
14,天津,02:41,02:50,10:43,907
15,唐山,04:20,04:36,12:13,1021
16,滦县,05:44,05:58,13:21,1092
17,昌黎,06:24,06:26,13:47,1133
18,秦皇岛,07:01,07:03,14:22,1169
19,山海关,07:28,07:34,14:47,1185
20,绥中北,08:12,08:24,15:25,-
21,盘锦北,09:59,10:04,17:00,-
22,盘锦,10:26,10:28,17:22,1478
23,西柳,11:15,11:17,18:09,1541
24,大石桥,11:46,11:49,18:38,1587
25,盖州,12:09,12:12,18:58,1617
26,熊岳城,12:33,12:36,19:19,1648
27,瓦房店,13:26,13:30,20:09,1722
28,普兰店,13:50,13:53,20:29,1749
29,金州,14:25,14:31,21:01,1794
30,大连,15:04,15:04,21:34,1827
