Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海虹桥,----,09:40,00:00,-
2,嘉善南,10:04,10:10,00:24,67
3,嘉兴南,10:18,10:27,00:32,84
4,桐乡,10:38,10:59,00:43,112
5,杭州东,11:17,11:25,01:01,159
6,绍兴北,11:44,11:46,01:20,202
7,宁波,12:22,12:26,01:56,261
8,宁海,12:54,12:56,02:24,386
9,台州,13:26,13:28,02:54,448
10,温岭,13:40,13:41,03:06,472
11,永嘉,14:10,14:12,03:35,553
12,温州南,14:22,14:24,03:45,413
13,平阳,14:41,14:43,04:02,-
14,霞浦,15:21,15:23,04:40,736
15,福州南,16:18,16:22,05:35,593
16,涵江,16:46,16:48,05:59,664
17,仙游,17:05,17:07,06:16,703
18,泉州,17:25,17:27,06:34,748
19,厦门北,17:52,17:56,06:59,819
20,漳州,18:15,18:17,07:18,1151
21,诏安,18:55,18:57,07:56,1259
22,饶平,19:07,19:09,08:06,1277
23,潮汕,19:27,19:29,08:24,1318
24,葵潭,20:01,20:03,08:56,1402
25,汕尾,20:27,20:29,09:20,-
26,深圳北,21:33,21:33,10:24,1623
