Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,青岛北,----,07:59,00:00,-
2,蓝村,08:27,08:33,00:28,37
3,胶州,08:55,09:00,00:50,58
4,诸城,10:14,10:20,02:04,122
5,五莲,10:56,10:59,02:40,157
6,莒县,11:47,11:53,03:28,197
7,沂南,12:48,12:55,04:23,227
8,临沂东,13:27,13:32,04:55,-
9,临沂,13:50,13:57,05:13,287
10,费县,14:25,14:30,05:41,-
11,平邑,14:56,15:01,06:07,-
12,曲阜,15:51,15:55,06:57,-
13,兖州,16:27,16:39,07:29,534
14,济宁,17:02,17:12,07:52,-
15,嘉祥,17:29,17:37,08:09,-
16,巨野,17:54,18:02,08:26,-
17,菏泽,18:45,19:01,09:09,-
18,曹县,19:36,19:36,09:44,656
