Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,赣州,10:53,10:53,00:00,-
2,于都,11:21,11:23,00:28,56
3,瑞金,11:51,11:53,00:56,130
4,长汀南,12:09,12:11,01:12,71
5,龙岩,12:52,12:56,01:53,86
6,厦门北,13:54,13:58,02:51,242
7,泉州,14:24,14:26,03:17,313
8,仙游,14:44,14:46,03:35,358
9,福清,15:12,15:14,04:01,432
10,福州南,15:29,15:33,04:16,468
11,罗源,16:02,16:04,04:45,717
12,霞浦,16:33,16:35,05:14,800
13,平阳,17:13,17:15,05:52,-
14,瑞安,17:24,17:26,06:01,924
15,温州南,17:38,17:40,06:13,747
16,雁荡山,18:07,18:09,06:40,1023
17,台州,18:28,18:30,06:59,870
18,三门县,18:49,18:51,07:18,1116
19,宁波,19:31,19:38,07:58,1174
20,余姚北,19:58,20:01,08:18,1271
21,绍兴北,20:20,20:23,08:37,1286
22,杭州东,20:43,20:50,08:57,863
23,桐乡,21:07,21:17,09:14,1424
24,嘉兴南,21:28,21:31,09:25,1404
25,上海虹桥,22:00,22:00,09:54,1488
