Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广元,11:10,11:10,00:00,-
2,青川,11:29,11:31,00:19,56
3,江油北,11:45,11:47,00:33,-
4,江油,12:03,12:05,00:49,162
5,绵阳,12:22,12:24,01:06,201
6,德阳,12:41,12:43,01:23,255
7,成都东,13:08,13:23,01:48,171
8,简阳南,13:44,13:46,02:09,-
9,内江北,14:16,14:18,02:39,-
10,隆昌北,14:29,14:36,02:50,-
11,永川东,14:58,15:00,03:12,-
12,重庆西,15:25,15:30,03:37,580
13,桐梓东,16:31,16:33,04:38,-
14,遵义南,17:03,17:05,05:08,-
15,贵阳东,17:44,17:49,05:47,-
16,都匀东,18:27,18:29,06:25,-
17,榕江,19:00,19:03,06:56,-
18,三江南,19:39,19:41,07:32,-
19,桂林西,20:14,20:18,08:05,-
20,钟山西,21:07,21:09,08:54,-
21,贺州,21:21,21:23,09:06,-
22,广州,22:54,22:54,10:37,2232
