Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州东,----,19:58,00:00,-
2,韶关东,22:17,22:23,02:19,229
3,郴州,23:57,00:01,03:53,382
4,衡阳,01:40,01:44,05:32,529
5,株洲,03:06,03:10,06:54,663
6,长沙,03:47,03:59,07:31,715
7,咸宁,06:35,06:38,10:07,997
8,武昌,07:25,07:33,10:54,1077
9,信阳,09:48,09:51,13:09,1311
10,漯河,11:10,11:13,14:28,1473
11,许昌,11:46,11:52,15:01,1527
12,郑州,12:38,12:56,15:47,1613
13,新乡,13:42,13:47,16:33,1693
14,安阳,14:44,14:48,17:30,1800
15,邯郸,15:21,15:26,18:03,1860
16,邢台,15:53,15:57,18:30,1912
17,石家庄,16:53,16:58,19:26,2021
18,保定,18:09,18:12,20:37,2156
19,天津,20:21,20:40,22:46,2193
20,沈阳北,02:26,02:33,28:32,2859
21,哈尔滨西,06:49,06:49,32:48,3100
