Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,赣州,----,17:29,00:00,-
2,兴国,18:17,18:21,00:48,73
3,泰和,19:17,19:28,01:44,152
4,吉安,19:51,19:55,02:07,186
5,峡江,20:38,20:42,02:50,-
6,新干,20:57,21:01,03:05,272
7,鹰潭,23:27,23:56,05:31,318
8,上饶,01:02,01:06,06:37,434
9,金华,04:20,04:28,09:51,555
10,义乌,05:17,05:22,10:40,603
11,杭州东,07:16,07:22,12:34,863
12,海宁,07:58,08:01,13:10,1065
13,嘉兴,08:19,08:22,13:28,950
14,嘉善,08:35,08:38,13:41,1111
15,松江,09:02,09:05,14:05,1147
16,上海南,09:29,09:52,14:29,1030
17,昆山,11:01,11:06,15:38,1236
18,苏州,11:30,11:33,16:02,1572
19,无锡,12:22,12:22,16:51,1614
