Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,大连,17:48,17:48,00:00,-
2,金州,18:14,18:19,00:26,33
3,普兰店,18:51,18:54,00:58,78
4,瓦房店,19:17,19:21,01:21,105
5,熊岳城,20:09,20:12,02:09,179
6,盖州,20:32,20:34,02:29,210
7,大石桥,20:59,21:02,02:54,240
8,海城,21:26,21:29,03:18,272
9,鞍山,21:54,21:57,03:43,308
10,辽阳,22:15,22:18,04:01,333
11,沈阳,23:07,23:29,04:50,397
12,铁岭,00:20,00:22,05:41,467
13,西丰,01:40,01:45,06:59,-
14,辽源,02:38,02:52,07:52,667
15,梅河口,04:21,04:29,09:21,643
16,柳河,05:00,05:03,09:52,773
17,三源浦,05:46,05:49,10:35,815
18,通化,07:02,07:02,11:48,773
