Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京西,----,07:03,00:00,-
2,高碑店东,07:33,07:35,00:30,83
3,保定东,07:51,07:53,00:46,139
4,石家庄,08:29,08:31,01:22,281
5,邢台东,08:59,09:02,01:50,403
6,邯郸东,09:18,09:20,02:06,456
7,鹤壁东,09:47,09:49,02:33,562
8,郑州东,10:22,10:26,03:06,693
9,驻马店西,11:12,11:18,03:52,912
10,信阳东,11:43,11:45,04:17,1030
11,武汉,12:29,12:33,05:01,1229
12,咸宁北,12:57,12:59,05:25,1314
13,岳阳东,13:29,13:31,05:55,1444
14,长沙南,14:06,14:26,06:30,1591
15,萍乡北,14:53,14:56,06:57,1696
16,宜春,15:14,15:26,07:15,1757
17,新余北,15:41,15:50,07:30,1806
18,南昌西,16:24,16:30,08:04,1933
19,吉安西,17:34,17:36,09:08,-
20,瑞金,19:12,19:12,10:44,1991
