Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,九江,18:05,18:05,00:00,-
2,南昌,19:33,20:02,01:28,135
3,向塘,20:23,20:30,01:49,163
4,进贤,21:04,21:07,02:23,199
5,东乡,21:34,21:37,02:50,238
6,鹰潭,22:04,22:10,03:17,279
7,贵溪,22:26,22:29,03:33,300
8,上饶,23:24,23:28,04:28,395
9,玉山,23:49,23:53,04:49,425
10,衢州,01:02,01:05,05:58,430
11,金华,02:02,02:09,06:55,592
12,义乌,02:44,02:53,07:30,564
13,杭州东,04:23,04:29,09:00,709
14,海宁,05:11,05:14,09:42,768
15,嘉兴,05:34,05:37,10:02,659
16,嘉善,05:53,05:56,10:18,814
17,上海南,07:06,07:06,11:28,739
