Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,江山,----,06:27,00:00,-
2,衢州,06:38,06:40,00:11,35
3,龙游,06:51,06:53,00:22,66
4,金华,07:08,07:10,00:37,121
5,义乌,07:26,07:28,00:53,169
6,杭州东,08:00,08:11,01:25,314
7,余杭,08:21,08:23,01:35,329
8,桐乡,08:35,08:37,01:47,361
9,嘉兴南,08:48,08:50,01:58,389
10,松江南,09:08,09:11,02:16,442
11,上海虹桥,09:25,09:27,02:30,473
12,昆山南,09:46,09:51,02:49,523
13,苏州,10:04,10:06,03:02,557
14,无锡,10:21,10:23,03:17,599
15,常州,10:37,10:39,03:31,638
16,镇江,11:03,11:05,03:55,710
17,南京南,11:32,11:37,04:22,784
18,合肥南,12:30,12:30,05:15,941
