Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,吉林,00:00,06:35,00:00,-
2,江密峰,06:58,07:00,00:23,23
3,天岗,07:17,07:19,00:40,43
4,六道河,07:33,07:35,00:54,55
5,老爷岭,07:48,07:50,01:07,65
6,小姑家,08:02,08:04,01:19,74
7,蛟河,08:25,08:29,01:40,97
8,白石山,08:54,08:57,02:05,124
9,黄松甸,09:16,09:19,02:24,141
10,黄泥河,09:48,09:51,02:53,172
11,敦化,10:41,10:49,03:43,210
12,大石头,11:11,11:13,04:05,234
13,哈尔巴岭,11:25,11:27,04:17,246
14,安图,12:04,12:07,04:54,283
15,茶条沟,12:21,12:23,05:08,296
16,榆树川,12:35,12:37,05:20,307
17,延吉,13:32,13:40,06:15,349
18,图们,14:31,14:31,07:06,401
