Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,运城北,07:43,07:43,00:00,-
2,侯马西,08:05,08:07,00:22,64
3,平遥古城,09:05,09:07,01:20,263
4,太原南,09:39,09:45,01:52,356
5,阳泉北,10:33,10:36,02:40,485
6,石家庄,11:15,11:18,03:19,588
7,藁城南,11:38,11:40,03:39,628
8,辛集南,11:53,11:56,03:52,661
9,衡水北,12:12,12:19,04:08,704
10,德州东,12:46,12:50,04:35,793
11,平原东,13:01,13:06,04:46,817
12,齐河,13:23,13:25,05:03,-
13,济南东,13:39,13:42,05:17,-
14,邹平,13:59,14:01,05:34,-
15,淄博北,14:12,14:14,05:45,-
16,青州市北,14:29,14:31,06:00,-
17,潍坊北,14:48,14:51,06:17,-
18,夏格庄,15:38,15:40,07:04,-
19,莱阳,15:58,16:00,07:22,-
20,海阳北,16:14,16:16,07:36,-
21,烟台南,16:39,16:41,07:59,-
22,威海北,17:04,17:06,08:22,-
23,威海,17:14,17:14,08:30,-
