Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南昌西,07:19,07:19,00:00,-
2,抚州,07:56,07:58,00:37,101
3,南丰,08:27,08:29,01:06,181
4,建宁县北,08:49,08:51,01:26,230
5,泰宁,09:04,09:06,01:39,260
6,三明北,09:40,09:44,02:13,352
7,尤溪,10:04,10:06,02:33,394
8,永泰,10:39,10:41,03:06,489
9,莆田,11:04,11:08,03:29,381
10,泉州,11:33,11:35,03:54,450
11,厦门北,12:01,12:06,04:20,521
12,云霄,12:49,12:51,05:03,634
13,潮汕,13:28,13:31,05:40,725
14,普宁,13:52,13:54,06:01,778
15,陆丰,14:18,14:20,06:25,839
16,深圳坪山,15:13,15:15,07:18,-
17,深圳北,15:39,15:39,07:42,1030
