Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海虹桥,----,13:24,00:00,-
2,昆山南,13:41,13:51,00:17,50
3,苏州北,14:02,14:04,00:28,81
4,常州北,14:26,14:45,00:50,165
5,丹阳北,14:57,15:06,01:02,198
6,镇江南,15:17,15:18,01:13,230
7,南京南,15:37,15:47,01:32,295
8,全椒,16:07,16:09,01:52,351
9,合肥,16:49,16:53,02:32,465
10,淮南南,17:20,17:22,02:59,-
11,颍上北,17:43,17:45,03:20,-
12,阜阳西,18:02,18:04,03:37,-
13,亳州南,18:30,18:32,04:03,-
14,商丘东,18:51,18:53,04:22,-
15,商丘,19:03,19:05,04:32,641
16,郑州东,19:58,20:01,05:25,656
17,禹州,20:36,20:38,06:00,-
18,平顶山西,20:55,20:57,06:17,-
19,方城,21:16,21:18,06:36,-
20,南阳东,21:32,21:32,06:50,-
