Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,太原南,----,06:40,00:00,-
2,平遥古城,07:11,07:13,00:31,93
3,洪洞西,07:52,07:54,01:10,191
4,襄汾西,08:13,08:15,01:29,265
5,运城北,08:44,08:47,01:58,356
6,永济北,09:06,09:09,02:17,409
7,渭南北,09:41,09:43,02:49,516
8,西安北,10:07,10:12,03:13,579
9,阿房宫,10:23,10:25,03:24,601
10,鄠邑,10:35,10:37,03:34,-
11,洋县西,11:21,11:23,04:18,-
12,汉中,11:41,11:44,04:36,801
13,朝天,12:15,12:17,05:07,-
14,广元,12:32,12:40,05:22,959
15,青川,12:59,13:02,05:41,-
16,德阳,13:54,13:56,06:33,1171
17,成都东,14:20,14:25,06:57,1237
18,资阳北,14:51,14:59,07:23,-
19,资中北,15:13,15:15,07:37,-
20,隆昌北,15:31,15:33,07:53,-
21,荣昌北,15:45,15:53,08:05,-
22,重庆西,16:23,16:33,08:35,1317
23,珞璜南,16:46,16:50,08:48,-
24,綦江东,17:06,17:21,09:04,-
25,桐梓北,17:50,17:52,09:33,-
26,遵义,18:24,18:27,10:05,-
27,息烽,18:54,18:56,10:32,-
28,贵阳东,19:21,19:27,10:57,-
29,贵定县,19:52,19:54,11:22,-
30,都匀东,20:12,20:14,11:40,-
31,榕江,20:45,20:47,12:11,-
32,桂林北,21:57,21:57,13:21,-
