Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌海西,08:55,08:55,00:00,-
2,乌海,09:23,09:27,00:28,26
3,乌海北,09:43,09:45,00:44,40
4,碱柜,09:56,09:58,00:55,55
5,杭锦旗,10:35,10:37,01:32,101
6,巴彦高勒,10:48,11:04,01:43,109
7,头道桥,11:24,11:26,02:03,140
8,临河,11:46,11:52,02:23,169
9,四分滩,12:11,12:12,02:42,197
10,五原,12:31,12:33,03:01,226
11,西小召,12:51,13:02,03:19,254
12,乌拉特前旗,13:21,13:23,03:38,283
13,乌拉山,13:33,13:35,03:48,297
14,公庙子,13:47,13:49,04:00,313
15,白彦花,14:07,14:08,04:18,341
16,哈业胡同,14:18,14:20,04:28,353
17,包头西,14:57,14:59,05:05,378
18,包头,15:13,15:21,05:19,387
19,包头东,15:37,15:37,05:35,403
