Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,石家庄,13:00,13:00,00:00,-
2,邢台,14:03,14:05,01:03,113
3,邯郸,14:43,14:49,01:41,165
4,安阳,15:38,15:41,02:30,221
5,鹤壁,16:10,16:27,02:59,262
6,新乡,17:06,17:11,03:38,328
7,郑州,18:13,18:27,04:40,412
8,宁陵县,20:28,20:38,06:41,576
9,商丘,21:07,21:12,07:10,432
10,砀山,21:59,22:04,07:57,674
11,徐州,23:24,23:31,09:17,763
12,南京,03:18,03:46,13:04,1105
13,镇江,04:26,04:35,13:44,1169
14,常州,05:25,05:29,14:34,-
15,无锡,05:56,05:59,15:01,1280
16,苏州,07:22,07:26,16:24,1322
17,昆山,07:50,07:54,16:48,1357
18,上海,09:05,09:05,17:59,1406
