Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,成都东,----,07:57,00:00,-
2,合川,09:35,09:52,01:38,247
3,重庆北,10:17,10:23,02:03,313
4,涪陵北,11:01,11:03,02:41,405
5,石柱县,11:38,11:40,03:16,496
6,利川,12:17,12:19,03:53,591
7,恩施,12:51,12:55,04:25,652
8,宜昌东,14:36,14:46,06:06,866
9,荆州,15:20,15:22,06:40,954
10,潜江,15:47,15:49,07:05,1024
11,汉口,16:45,17:06,08:01,1158
12,金寨,18:13,18:15,09:08,1378
13,六安,18:33,18:35,09:26,1430
14,合肥南,18:59,19:18,09:50,1244
15,南京南,20:10,20:13,10:42,1401
16,镇江,20:41,20:43,11:10,1748
17,常州,21:08,21:10,11:35,1820
18,无锡,21:25,21:27,11:50,1859
19,苏州,21:43,21:45,12:06,1628
20,昆山南,21:58,22:00,12:19,1935
21,上海虹桥,22:19,22:19,12:38,1985
