Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南京南,15:08,15:08,00:00,-
2,宜兴,15:45,15:47,00:37,129
3,长兴,16:00,16:02,00:50,165
4,湖州,16:11,16:13,00:59,185
5,杭州东,16:36,16:42,01:22,256
6,诸暨,17:09,17:16,01:49,349
7,义乌,17:30,17:32,02:03,401
8,金华南,17:51,17:53,02:22,406
9,武义北,18:04,18:06,02:33,387
10,永康南,18:18,18:20,02:45,416
11,缙云西,18:30,18:32,02:55,416
12,丽水,18:45,18:47,03:08,421
13,温州南,19:21,19:35,03:42,510
14,瑞安,19:47,19:49,03:54,533
15,平阳,19:58,20:08,04:03,-
16,苍南,20:21,20:23,04:16,567
17,福鼎,20:38,20:40,04:31,780
18,太姥山,20:50,21:02,04:41,706
19,霞浦,21:17,21:19,04:56,740
20,宁德,21:41,21:43,05:18,892
21,罗源,21:54,21:56,05:29,-
22,福州南,22:26,22:26,05:59,686
