Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,西安,----,13:23,00:00,-
2,渭南,14:02,14:04,00:39,56
3,潼关,15:14,15:16,01:49,135
4,灵宝,16:16,16:18,02:49,212
5,三门峡,17:00,17:02,03:31,265
6,义马,18:08,18:10,04:37,323
7,洛阳,18:55,19:00,05:22,387
8,巩义,19:42,19:45,06:04,441
9,郑州,20:50,21:22,07:09,511
10,开封,22:08,22:11,07:55,583
11,兰考,22:39,22:42,08:23,626
12,民权,23:04,23:10,08:45,662
13,商丘南,00:02,00:18,09:37,-
14,阜阳,02:10,02:25,11:29,892
15,合肥,04:42,05:01,13:46,999
16,芜湖,06:36,06:42,15:21,1140
17,宣城,07:35,07:38,16:14,1204
18,广德,08:18,08:21,16:54,1381
19,长兴南,08:51,08:55,17:24,1318
20,德清西,09:33,09:36,18:02,1376
21,杭州,10:48,10:48,19:14,1696
