Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,苍南,09:09,09:09,00:00,-
2,温州南,09:32,09:36,00:23,57
3,丽水,10:10,10:12,00:57,141
4,缙云西,10:25,10:27,01:10,146
5,永康南,10:38,10:40,01:21,151
6,武义北,10:51,10:53,01:32,156
7,金华南,11:05,11:07,01:44,161
8,金华,11:20,11:22,01:57,-
9,上饶,12:07,12:09,02:42,-
10,鹰潭北,12:34,12:36,03:07,-
11,南昌西,13:11,13:16,03:42,829
12,新余北,13:48,13:50,04:14,-
13,长沙南,14:45,14:57,05:09,-
14,湘潭北,15:11,15:13,05:23,-
15,娄底南,15:39,15:41,05:49,-
16,新化南,16:05,16:07,06:13,-
17,怀化南,16:40,16:44,06:46,-
18,凯里南,17:43,17:45,07:45,-
19,贵阳东,18:19,18:24,08:19,-
20,遵义,19:13,19:15,09:08,-
21,重庆西,20:34,20:38,10:27,-
22,内江北,21:20,21:22,11:09,-
23,成都东,22:03,22:03,11:50,-
