Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,西宁,----,22:55,00:00,-
2,兰州,01:16,01:31,02:21,120
3,天水,05:32,05:38,06:22,564
4,宝鸡,08:12,08:16,08:56,719
5,西安,09:46,09:57,10:26,892
6,三门峡西,13:04,13:07,13:33,-
7,洛阳,15:10,15:18,15:36,1279
8,郑州,17:10,17:32,17:28,1403
9,开封,18:18,18:22,18:14,1475
10,商丘,19:54,20:00,19:46,1606
11,徐州,21:38,21:51,21:24,1752
12,蚌埠,23:34,23:39,23:07,1916
13,南京,01:37,01:45,25:05,2100
14,常州,03:06,03:10,26:26,2248
15,无锡,03:37,03:40,26:53,-
16,苏州,04:09,04:14,27:22,2317
17,昆山,04:38,04:43,27:46,2352
18,上海,05:29,05:29,28:32,2401
